file,lg,model,score
Bear01_07-17s_vocals,es,cascade,5
Bear01_07-17s_vocals,es,seamless,11
Bear01_07-17s_vocals,fr,cascade,29
Bear01_07-17s_vocals,fr,seamless,22
Bear02_72-78s_vocals,es,cascade,6
Bear02_72-78s_vocals,es,seamless,10
Bear02_72-78s_vocals,fr,cascade,28
Bear02_72-78s_vocals,fr,seamless,31
Bear03_97-119s_vocals,es,cascade,26
Bear03_97-119s_vocals,es,seamless,11
Bear03_97-119s_vocals,fr,cascade,64
Bear03_97-119s_vocals,fr,seamless,32
Dead01_233-243s_vocals,es,cascade,35
Dead01_233-243s_vocals,es,seamless,12
Dead01_233-243s_vocals,fr,cascade,71
Dead01_233-243s_vocals,fr,seamless,42
Dead02_142-154s_vocals,es,cascade,25
Dead02_142-154s_vocals,es,seamless,10
Dead02_142-154s_vocals,fr,cascade,60
Dead02_142-154s_vocals,fr,seamless,61
Lynx01_67-77s_vocals,es,cascade,11
Lynx01_67-77s_vocals,es,seamless,10
Lynx01_67-77s_vocals,fr,cascade,17
Lynx01_67-77s_vocals,fr,seamless,21
Ocean01_19-27s_vocals,es,cascade,2
Ocean01_19-27s_vocals,es,seamless,20
Ocean01_19-27s_vocals,fr,cascade,45
Ocean01_19-27s_vocals,fr,seamless,2
Ocean02_29-37s_vocals,es,cascade,7
Ocean02_29-37s_vocals,es,seamless,1
Ocean02_29-37s_vocals,fr,cascade,41
Ocean02_29-37s_vocals,fr,seamless,27
Ocean03_232-237s_vocals,es,cascade,11
Ocean03_232-237s_vocals,es,seamless,10
Ocean03_232-237s_vocals,fr,seamless,26
